"","Yorf","WT1pre","WT2pre","WT3pre","WT1post","WT2post","WT3post","gene","desc"
"18","YAL020C",825,501,325,578,504,670,"ATS1","Protein required for modification of wobble nucleosides in tRNA; acts with Elongator complex, Kti11p, and Kti12p; has a potential role in regulatory interactions between microtubules and the cell cycle; forms a stable heterodimer with Kti11p"
"19","YAL021C",3388,4124,2556,3455,3205,3753,"CCR4","Component of the CCR4-NOT transcriptional complex; CCR4-NOT is involved in regulation of gene expression; component of the major cytoplasmic deadenylase, which is involved in mRNA poly(A) tail shortening"
"20","YAL022C",1788,1519,1029,1357,1357,1507,"FUN26","High affinity, broad selectivity, nucleoside/nucleobase transporter; vacuolar membrane localized transporter which may regulate the balance of nicotinamide riboside (NmR) levels between the cytosol and vacuole, contributing to salvage of NmR for use in cytosolic NAD+ synthesis; equilibrative nucleoside transporter (ENT) family member"
"21","YAL023C",13209,13514,7680,8471,7079,8641,"PMT2","Protein O-mannosyltransferase of the ER membrane; transfers mannose residues from dolichyl phosphate-D-mannose to protein serine/threonine residues; involved in ER quality control; acts in a complex with Pmt1p, can instead interact with Pmt5p; antifungal drug target; PMT2 has a paralog, PMT3, that arose from the whole genome duplication"
"22","YAL024C",1189,1360,892,912,938,1035,"LTE1","Protein similar to GDP/GTP exchange factors; without detectable GEF activity; required for asymmetric localization of Bfa1p at daughter-directed spindle pole bodies and for mitotic exit at low temperatures"
"23","YAL025C",1375,943,585,111,95,101,"MAK16","Essential nuclear protein; constituent of 66S pre-ribosomal particles; required for maturation of 25S and 5.8S rRNAs; required for maintenance of M1 satellite double-stranded RNA of the L-A virus"
"24","YAL026C",5407,5076,3498,3093,2423,3538,"DRS2","Trans-golgi network aminophospholipid translocase (flippase); maintains membrane lipid asymmetry in post-Golgi secretory vesicles; contributes to clathrin-coated vesicle formation, endocytosis, protein trafficking between the Golgi and endosomal system and the cellular response to mating pheromone; autoinhibited by its C-terminal tail; localizes to the trans-Golgi network; mutations in human homolog ATP8B1 result in liver disease"
"25","YAL027W",319,234,148,392,272,355,"SAW1","5'- and 3'-flap DNA binding protein; recruits Rad1p-Rad10p to single-strand annealing intermediates with 3' non-homologous tails for removal during double-strand break repair; complexes with Rad1p-Rad10p and stimulates its endonuclease activity; green fluorescent protein (GFP)-fusion protein localizes to the nucleus"
"26","YAL028W",405,326,237,1809,1580,1763,"FRT2","Tail-anchored ER membrane protein of unknown function; interacts with homolog Frt1p; promotes growth in conditions of high Na+, alkaline pH, or cell wall stress, possibly via a role in posttranslational translocation; potential Cdc28p substrate; FRT2 has a paralog, FRT1, that arose from the whole genome duplication"
"27","YAL029C",5005,5759,3622,3117,2550,3456,"MYO4","Type V myosin motor involved in actin-based transport of cargos; required for mRNA transport, including ASH1 mRNA, and facilitating the growth and movement of ER tubules into the growing bud along with She3p; MYO4 has a paralog, MYO2, that arose from the whole genome duplication"
"28","YAL030W",527,402,305,430,325,535,"SNC1","Vesicle membrane receptor protein (v-SNARE); involved in the fusion between Golgi-derived secretory vesicles with the plasma membrane; proposed to be involved in endocytosis; member of the synaptobrevin/VAMP family of R-type v-SNARE proteins; SNC1 has a paralog, SNC2, that arose from the whole genome duplication"
"29","YAL031C",878,887,561,2216,1966,2341,"GIP4","Cytoplasmic protein that regulates protein phosphatase 1 Glc7p; protein overexpression relocalizes Glc7p from the nucleus and prevents chromosome segregation; potential Cdc28p substrate"
"30","YAL032C",702,726,438,1026,898,1058,"PRP45","Protein required for pre-mRNA splicing; associates with the spliceosome and interacts with splicing factors Prp22p and Prp46p; orthologous to human transcriptional coactivator SKIP and can activate transcription of a reporter gene"
"31","YAL033W",503,492,294,225,178,239,"POP5","Subunit of both RNase MRP and nuclear RNase P; RNase MRP cleaves pre-rRNA, while nuclear RNase P cleaves tRNA precursors to generate mature 5' ends and facilitates turnover of nuclear RNAs"
"32","YAL034C",505,603,416,2504,2241,2498,"FUN19","Non-essential protein of unknown function; expression induced in response to heat stress; FUN19 has a paralog, YOR338W, that arose from the whole genome duplication"
"33","YAL034W-A",216,167,115,181,206,209,"MTW1","Essential component of the MIND kinetochore complex; joins kinetochore subunits contacting DNA to those contacting microtubules; critical to kinetochore assembly; complex consists of Mtw1p Including Nnf1p-Nsl1p-Dsn1p (MIND)"
"34","YAL035W",24334,23176,14715,9281,6756,8964,"FUN12","Translation initiation factor eIF5B; GTPase that promotes Met-tRNAiMet binding to ribosomes and ribosomal subunit joining; promotes GTP-dependent maturation of 18S rRNA by Nob1p; protein abundance increases in response to DNA replication stress; homolog of bacterial IF2"
"35","YAL036C",3993,3661,2276,1035,907,990,"RBG1","Member of the DRG family of GTP-binding proteins; associates with translating ribosomes; interacts with Tma46p, Ygr250cp, Gir2p and Yap1p via two-hybrid"
"36","YAL037C-A",6,8,1,1,1,0,"","Putative protein of unknown function"
"37","YAL037W",111,102,70,56,59,72,"","Putative protein of unknown function; YAL037W has a paralog, YOR342C, that arose from the whole genome duplication"
"38","YAL038W",322483,359181,194689,299442,293206,299067,"CDC19","Pyruvate kinase; functions as a homotetramer in glycolysis to convert phosphoenolpyruvate to pyruvate, the input for aerobic (TCA cycle) or anaerobic (glucose fermentation) respiration; regulated via allosteric activation by fructose bisphosphate; CDC19 has a paralog, PYK2, that arose from the whole genome duplication"
"39","YAL039C",1050,743,500,1978,1596,1734,"CYC3","Cytochrome c heme lyase (holocytochrome c synthase); attaches heme to apo-cytochrome c (Cyc1p or Cyc7p) in mitochondrial intermembrane space; human homolog HCCS implicated in microphthalmia with linear skin defects (MLS), and can complement yeast null mutant"
"40","YAL040C",1004,1755,977,1888,1842,1946,"CLN3","G1 cyclin involved in cell cycle progression; activates Cdc28p kinase to promote G1 to S phase transition; plays a role in regulating transcription of other G1 cyclins, CLN1 and CLN2; regulated by phosphorylation and proteolysis; acetyl-CoA induces CLN3 transcription in response to nutrient repletion to promote cell-cycle entry; cell cycle arrest phenotype of the cln1 cln2 cln3 triple null mutant is complemented by any of human cyclins CCNA2, CCNB1, CCNC, CCND1, or CCNE1"
"41","YAL041W",2410,2539,1687,2653,2403,3063,"CDC24","Guanine nucleotide exchange factor (GEF) for Cdc42p; required for polarity establishment and maintenance, and mutants have morphological defects in bud formation and shmooing; relocalizes from nucleus to cytoplasm upon DNA replication stress; thermosensitivity of the cdc24-4 mutant in the presence of sorbitol is functionally complemented by human CDC42"
"42","YAL042W",7326,5817,3817,4344,3774,4445,"ERV46","Protein localized to COPII-coated vesicles; forms a complex with Erv41p; involved in the membrane fusion stage of transport"
"43","YAL043C",2159,2445,1453,2729,2739,2960,"PTA1","Subunit of holo-CPF; holo-CPF is a multiprotein complex and functional homolog of mammalian CPSF, required for the cleavage and polyadenylation of mRNA and snoRNA 3' ends; involved in pre-tRNA processing; binds to the phosphorylated CTD of RNAPII"
"44","YAL044C",2138,1738,940,490,432,440,"GCV3","H subunit of the mitochondrial glycine decarboxylase complex; glycine decarboxylase is required for the catabolism of glycine to 5,10-methylene-THF; also required for all protein lipoylation; expression is regulated by levels of 5,10-methylene-THF"
"45","YAL044W-A",342,287,222,214,184,219,"BOL1","Mitochondrial matrix protein involved in Fe-S cluster biogenesis; facilitates [4Fe-2S] cluster inception into mitochondrial proteins such as lipoate synthase and succinate dehydrogenase; interacts and may function with Grx5p at an early step in Fe-S cluster biosynthesis; forms dimeric complexes with Grx5p and Nfu1p that alter the stability of shared Fe/S clusters; sequence similarity to human BOLA family member, BOLA1 and S. pombe uvi31, a putative DNA repair protein"
"46","YAL046C",354,322,209,190,157,154,"BOL3","Protein involved in Fe-S cluster transfer to mitochondrial clients; protects [4Fe-4S] clusters from damage due to oxidative stress by acting along with Nfu1p at a late step in the transfer of [4Fe-4S] clusters from the ISA complex to mitochondrial client proteins like lipoate synthase and succinate dehydrogenase; sequence similarity to human BOLA family member, BOLA3, mutations of which are associated with Multiple Mitochondria Dysfunctions Syndrome (MMDS2)"
"47","YAL047C",528,520,364,481,457,550,"SPC72","Gamma-tubulin small complex (gamma-TuSC) receptor; recruits the gamma-TuSC complex to the cytoplasmic side of the SPB, connecting nuclear microtubules to the SPB; involved in astral microtubule formation, stabilization, and with Stu2p, anchoring astral MTs at the cytoplasmic face of the SPB, and regulating plus-end MT dynamics; regulated by Cdc5 kinase"
"48","YAL048C",489,500,293,846,744,926,"GEM1","Outer mitochondrial membrane GTPase, subunit of the ERMES complex; potential regulatory subunit of the ERMES complex that links the ER to mitochondria and may promote inter-organellar calcium and phospholipid exchange as well as coordinating mitochondrial DNA replication and growth; cells lacking Gem1p contain collapsed, globular, or grape-like mitochondria; ortholog of metazoan Miro GTPases"
"49","YAL049C",887,853,588,907,724,932,"AIM2","Cytoplasmic protein involved in mitochondrial function or organization; null mutant displays reduced frequency of mitochondrial genome loss; potential Hsp82p interactor"
"50","YAL051W",1367,1250,806,2055,1579,2110,"OAF1","Oleate-activated transcription factor; subunit of a heterodimeric complex with Pip2p, which binds to oleate-response elements (ORE) in the promoter of genes involved in beta-oxidation of fatty acids, peroxisome organization and biogenesis, activating transcription in the presence of oleate; regulates chromatin silencing at telomeres; involved in diauxic shift; OAF1 has a paralog, PIP2, that arose from the whole genome duplication"
"51","YAL053W",2279,2640,1492,2422,2225,2753,"FLC2","Putative calcium channel involved in calcium release under hypotonic stress; required for uptake of FAD into endoplasmic reticulum; involved in cell wall maintenance; FLC2 has a paralog, YOR365C, that arose from the whole genome duplication"
"52","YAL054C",384,351,204,7073,7501,6878,"ACS1","Acetyl-coA synthetase isoform; along with Acs2p, acetyl-coA synthetase isoform is the nuclear source of acetyl-coA for histone acetylation; expressed during growth on nonfermentable carbon sources and under aerobic conditions"
"53","YAL055W",238,123,96,262,198,308,"PEX22","Putative peroxisomal membrane protein; required for import of peroxisomal proteins; functionally complements a Pichia pastoris pex22 mutation"
"54","YAL056W",1523,1387,947,2385,2041,2538,"GPB2","Multistep regulator of cAMP-PKA signaling; inhibits PKA downstream of Gpa2p and Cyr1p, thereby increasing cAMP dependency; inhibits Ras activity through direct interactions with Ira1p/2p; regulated by G-alpha protein Gpa2p; GPB2 has a paralog, GPB1, that arose from the whole genome duplication"
"55","YAL058W",924,861,456,586,500,649,"CNE1","Calnexin; integral membrane ER chaperone involved in folding and quality control of glycoproteins; chaperone activity is inhibited by Mpd1p, with which Cne1p interacts; 24% identical to mammalian calnexin; Ca+ binding not yet shown in yeast"
"56","YAL059W",1004,812,476,198,130,179,"ECM1","Pre-ribosomal factor involved in 60S ribosomal protein subunit export; associates with the pre-60S particle; shuttles between the nucleus and cytoplasm"
"57","YAL060W",2901,2237,1499,8192,7500,8057,"BDH1","NAD-dependent (R,R)-butanediol dehydrogenase; catalyzes oxidation of (R,R)-2,3-butanediol to (3R)-acetoin, oxidation of meso-butanediol to (3S)-acetoin, and reduction of acetoin; enhances use of 2,3-butanediol as an aerobic carbon source"
"58","YAL061W",713,518,379,18540,12238,15391,"BDH2","Putative medium-chain alcohol dehydrogenase with similarity to BDH1; transcription induced by constitutively active PDR1 and PDR3"
"59","YAL062W",662,684,393,1405,1141,1213,"GDH3","NADP(+)-dependent glutamate dehydrogenase; synthesizes glutamate from ammonia and alpha-ketoglutarate; rate of alpha-ketoglutarate utilization differs from Gdh1p; expression regulated by nitrogen and carbon sources; GDH3 has a paralog, GDH1, that arose from the whole genome duplication"
"60","YAL063C",537,621,372,979,885,1005,"FLO9","Lectin-like protein with similarity to Flo1p; thought to be expressed and involved in flocculation"
"61","YAL063C-A",9,17,5,14,22,19,"","Putative protein of unknown function; identified by expression profiling and mass spectrometry"
"62","YAL064C-A",56,66,42,135,101,130,"TDA8","Putative protein of unknown function; null mutant is sensitive to expression of the top1-T722A allele; not an essential gene"
"63","YAL064W",10,18,12,8,18,11,"","Protein of unknown function; may interact with ribosomes, based on co-purification experiments"
"64","YAL064W-B",24,23,15,55,49,64,"","Fungal-specific protein of unknown function"
"65","YAL065C",28,41,41,76,67,101,"","Putative protein of unknown function; shows sequence similarity to FLO1 and other flocculins"
"66","YAL067C",225,154,113,55,111,69,"SEO1","Putative permease; member of the allantoate transporter subfamily of the major facilitator superfamily; mutation confers resistance to ethionine sulfoxide"
"67","YAL067W-A",20,26,11,12,20,14,"","Putative protein of unknown function; identified by gene-trapping, microarray-based expression analysis, and genome-wide homology searching"
"68","YAL068C",2,5,2,2,13,6,"PAU8","Protein of unknown function; member of the seripauperin multigene family encoded mainly in subtelomeric regions"
"69","YAR002C-A",3708,3019,2016,1796,1492,1929,"ERP1","Member of the p24 family involved in ER to Golgi transport; role in misfolded protein quality control; forms heterotrimeric complex with Erp2p, Emp24p, and Erv25p; localized to COPII-coated vesicles; ERP1 has a paralog, ERP6, that arose from the whole genome duplication"
"70","YAR002W",2152,2088,1297,1175,998,1202,"NUP60","FG-nucleoporin component of central core of the nuclear pore complex; contributes directly to nucleocytoplasmic transport and maintenance of the nuclear pore complex (NPC) permeability barrier and is involved in gene tethering at the nuclear periphery; relocalizes to the cytosol in response to hypoxia; both NUP1 and NUP60 are homologous to human NUP153"
"71","YAR003W",774,649,392,695,648,824,"SWD1","Subunit of the COMPASS (Set1C) complex; COMPASS methylates histone H3 on lysine 4 and is required in transcriptional silencing near telomeres; WD40 beta propeller superfamily member with similarity to mammalian Rbbp7"
"72","YAR007C",2823,2497,1662,2201,1924,2404,"RFA1","Subunit of heterotrimeric Replication Protein A (RPA); RPA is a highly conserved single-stranded DNA binding protein involved in DNA replication, repair, and recombination; RPA protects against inappropriate telomere recombination, and upon telomere uncapping, prevents cell proliferation by a checkpoint-independent pathway; role in DNA catenation/decatenation pathway of chromosome disentangling; relocalizes to the cytosol in response to hypoxia"
"73","YAR008W",415,334,229,124,100,122,"SEN34","Subunit of the tRNA splicing endonuclease; tRNA splicing endonuclease (Sen complex) is composed of Sen2p, Sen15p, Sen34p, and Sen54p; Sen complex also cleaves the CBP1 mRNA at the mitochondrial surface; Sen34p contains the active site for tRNA 3' splice site cleavage and has similarity to Sen2p and to Archaeal tRNA splicing endonuclease"
"74","YAR009C",16066,19810,14313,20069,22948,25047,"","Retrotransposon TYA Gag and TYB Pol genes; Gag processing produces capsid proteins, Pol is cleaved to produce protease, reverse transcriptase and integrase activities; in YARCTy1-1 TYB is mutant and probably non-functional; protein product forms cytoplasmic foci upon DNA replication stress"
"75","YAR010C",3965,9980,6341,8921,7921,8716,"","Retrotransposon TYA Gag gene co-transcribed with TYB Pol; Gag processing produces capsid proteins; in YARCTy1-1 TYB is mutant and probably non-functional"
"76","YAR014C",2162,1929,1266,1697,1477,1829,"BUD14","Protein involved in bud-site selection; Bud14p-Glc7p complex is a cortical regulator of dynein; forms a complex with Kel1p and Kel2p that regulates Bnr1p (formin) to affect actin cable assembly, cytokinesis, and polarized growth; diploid mutants display a random budding pattern instead of the wild-type bipolar pattern; relative distribution to the nucleus increases upon DNA replication stress"
"77","YAR015W",2460,2336,1504,1540,1251,1735,"ADE1","N-succinyl-5-aminoimidazole-4-carboxamide ribotide synthetase; required for 'de novo' purine nucleotide biosynthesis; red pigment accumulates in mutant cells deprived of adenine; protein abundance increases in response to DNA replication stress"
"78","YAR018C",725,576,394,374,391,437,"KIN3","Nonessential serine/threonine protein kinase; possible role in DNA damage response; influences tolerance to high levels of ethanol"
"79","YAR019C",683,753,510,1614,1533,1830,"CDC15","Protein kinase of the Mitotic Exit Network; localized to the spindle pole bodies at late anaphase; promotes mitotic exit by directly switching on the kinase activity of Dbf2p; required for spindle disassembly after meiosis II; relocalizes to the cytoplasm upon DNA replication stress"
"80","YAR020C",20,18,8,47,41,49,"PAU7","Member of the seripauperin multigene family; active during alcoholic fermentation, regulated by anaerobiosis, inhibited by oxygen, repressed by heme"
"81","YAR023C",114,120,82,322,267,312,"","Putative integral membrane protein; member of DUP240 gene family"
"82","YAR027W",1017,687,523,1829,1372,1989,"UIP3","Putative integral membrane protein of unknown function; interacts with Ulp1p at the nuclear periphery; member of DUP240 gene family"
"83","YAR028W",280,264,169,305,332,394,"","Putative integral membrane protein; member of DUP240 gene family; GFP-fusion protein is induced in response to the DNA-damaging agent MMS"
"84","YAR029W",66,73,50,58,54,60,"","Member of DUP240 gene family but contains no transmembrane domains; green fluorescent protein (GFP)-fusion protein localizes to the cytoplasm in a punctate pattern"
"85","YAR031W",288,221,182,181,194,204,"PRM9","Pheromone-regulated protein; contains 3 predicted transmembrane segments and an FF sequence, a motif involved in COPII binding; member of DUP240 gene family; PRM9 has a paralog, PRM8, that arose from a segmental duplication"
"86","YAR033W",256,214,155,264,198,300,"MST28","Putative integral membrane protein, involved in vesicle formation; forms complex with Mst27p; member of DUP240 gene family; binds COPI and COPII vesicles; MST28 has a paralog, MST27, that arose from a segmental duplication"
"87","YAR035C-A",6,4,2,2,2,3,"","Putative protein of unknown function; identified by gene-trapping, microarray-based expression analysis, and genome-wide homology searching; predicted to have a role in cell budding based on computational ""guilt by association"" analysis"
"88","YAR035W",298,425,229,518,745,569,"YAT1","Outer mitochondrial carnitine acetyltransferase; minor ethanol-inducible enzyme involved in transport of activated acyl groups from the cytoplasm into the mitochondrial matrix; phosphorylated"
"89","YAR042W",2564,3084,1925,5922,4894,5934,"SWH1","Protein similar to mammalian oxysterol-binding protein; contains ankyrin repeats and FFAT motif; interacts with ER anchor Scs2p at the nucleus-vacuole junction; regulated by sterol binding; SWH1 has a paralog, OSH2, that arose from the whole genome duplication"
"90","YAR050W",475,684,425,688,872,880,"FLO1","Lectin-like protein involved in flocculation; cell wall protein that binds mannose chains on the surface of other cells, confers floc-forming ability that is chymotrypsin sensitive and heat resistant; important for co-flocculation with other yeasts, mediating interaction with specific species; FLO1 has a paralog, FLO5, that arose from a segmental duplication"
"91","YAR064W",35,36,14,35,72,58,"","Pseudogenic fragment with similarity to flocculins; YAR064W has a paralog, YHR213W-B, that arose from a segmental duplication"
"92","YAR066W",75,231,74,194,185,135,"","Putative GPI protein; SWAT-GFP and mCherry fusion proteins localize to the endoplasmic reticulum and vacuole respectively; YAR066W has a paralog, YHR214W, that arose from a segmental duplication"
"93","YAR068W",306,292,153,466,379,408,"","Fungal-specific protein of unknown function; induced in respiratory-deficient cells; YAR068W has a paralog, YHR214W-A, that arose from a segmental duplication"
"94","YAR071W",674,408,304,402,397,340,"PHO11","One of three repressible acid phosphatases; glycoprotein that is transported to the cell surface by the secretory pathway; induced by phosphate starvation and coordinately regulated by PHO4 and PHO2; PHO11 has a paralog, PHO12, that arose from a segmental duplication"
"95","YBL001C",1259,727,510,544,445,643,"ECM15","Non-essential protein of unknown function; likely exists as tetramer, may be regulated by the binding of small-molecule ligands (possibly sulfate ions), may have a role in yeast cell-wall biogenesis"
"96","YBL002W",5546,4398,2987,2966,2872,3347,"HTB2","Histone H2B; core histone protein required for chromatin assembly and chromosome function; nearly identical to HTB1; Rad6p-Bre1p-Lge1p mediated ubiquitination regulates reassembly after DNA replication, transcriptional activation, meiotic DSB formation and H3 methylation"
"97","YBL003C",6123,4410,2905,2899,2572,3239,"HTA2","Histone H2A; core histone protein required for chromatin assembly and chromosome function; one of two nearly identical (see also HTA1) subtypes; DNA damage-dependent phosphorylation by Mec1p facilitates DNA repair; acetylated by Nat4p"
"98","YBL004W",13592,14603,9541,2896,2068,3000,"UTP20","Component of the small-subunit (SSU) processome; SSU processome is involved in the biogenesis of the 18S rRNA"
"99","YBL005W",3288,2873,2142,3827,3174,4560,"PDR3","Transcriptional activator of the pleiotropic drug resistance network; regulates expression of ATP-binding cassette (ABC) transporters through binding to cis-acting PDRE sites (PDR responsive elements); has a role in response to drugs and organic solvents; post-translationally up-regulated in cells lacking functional mitochondrial genome; involved in diauxic shift; relative distribution to nucleus increases upon DNA replication stress; APCC(Cdh1) substrate"
"100","YBL005W-A",2552,3982,2397,6903,6467,6596,"","Retrotransposon TYA Gag gene co-transcribed with TYB Pol; translated as TYA or TYA-TYB polyprotein; Gag is a nucleocapsid protein that is the structural constituent of virus-like particles (VLPs); similar to retroviral Gag"
"101","YBL005W-B",39000,51170,34659,74762,47701,68622,"","Retrotransposon TYA Gag and TYB Pol genes; transcribed/translated as one unit; polyprotein is processed to make a nucleocapsid-like protein (Gag), reverse transcriptase (RT), protease (PR), and integrase (IN); similar to retroviral genes"
"102","YBL006C",1516,951,621,1501,1103,1620,"LDB7","Component of the RSC chromatin remodeling complex; interacts with Rsc3p, Rsc30p, Npl6p, and Htl1p to form a module important for a broad range of RSC functions"
"103","YBL007C",13398,14315,8964,14284,13410,15474,"SLA1","Cytoskeletal protein binding protein; required for assembly of the cortical actin cytoskeleton; interacts with proteins regulating actin dynamics and proteins required for endocytosis; found in the nucleus and cell cortex; has 3 SH3 domains"
"104","YBL008W",1476,1239,807,518,476,580,"HIR1","Subunit of the HIR complex; HIR is a nucleosome assembly complex involved in regulation of histone gene transcription; contributes to nucleosome formation, heterochromatic gene silencing, and formation of functional kinetochores"
"105","YBL008W-A",19,12,11,3,2,5,"","Putative protein of unknown function; identified by fungal homology and RT-PCR"
"106","YBL009W",897,1061,656,453,338,499,"ALK2","Protein kinase; along with its paralog, ALK1, required for proper spindle positioning and nuclear segregation following mitotic arrest, proper organization of cell polarity factors in mitosis, proper localization of formins and polarity factors, and survival in cells that activate spindle assembly checkpoint; phosphorylated in response to DNA damage; ALK2 has a paralog, ALK1, that arose from the whole genome duplication; similar to mammalian haspins"
"107","YBL010C",231,237,117,208,215,254,"","Putative protein of unknown function; green fluorescent protein (GFP)-fusion protein colocalizes with clathrin-coated vesicles"
"108","YBL011W",5518,4929,3250,5580,4914,5992,"SCT1","Glycerol 3-phosphate/dihydroxyacetone phosphate sn-1 acyltransferase; dual substrate-specific acyltransferase of the glycerolipid biosynthesis pathway; prefers 16-carbon fatty acids; similar to Gpt2p; gene is constitutively transcribed"
"109","YBL013W",234,204,157,380,392,417,"FMT1","Methionyl-tRNA formyltransferase; catalyzes the formylation of initiator Met-tRNA in mitochondria; potential Cdc28p substrate"
"110","YBL014C",1585,1478,1029,1306,1179,1467,"RRN6","Component of the core factor (CF) rDNA transcription factor complex; CF is required for transcription of 35S rRNA genes by RNA polymerase I and is composed of Rrn6p, Rrn7p, and Rrn11p"
"111","YBL015W",729,860,600,2143,3121,3003,"ACH1","Protein with CoA transferase activity; particularly for CoASH transfer from succinyl-CoA to acetate; has minor acetyl-CoA-hydrolase activity; phosphorylated; required for acetate utilization and for diploid pseudohyphal growth"
"112","YBL016W",640,567,380,359,334,460,"FUS3","Mitogen-activated serine/threonine protein kinase involved in mating; phosphoactivated by Ste7p; substrates include Ste12p, Far1p, Bni1p, Sst2p; inhibits invasive growth during mating by phosphorylating Tec1p, promoting its; inhibits recruitment of Ste5p, Cdc42p-mediated asymmetry and mating morphogenesis"
