"","Yorf","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","gene","desc"
"13","YAL015C",595.771271358227,-0.0426405710972385,0.111342126455444,-0.382968894655538,0.701742827541917,0.887753866044881,"NTG1","DNA N-glycosylase and apurinic/apyrimidinic (AP) lyase; involved in base excision repair; acts in both nucleus and mitochondrion; creates a double-strand break at mtDNA origins that stimulates replication in response to oxidative stress; required for maintaining mitochondrial genome integrity; NTG1 has a paralog, NTG2, that arose from the whole genome duplication"
"14","YAL016W",4261.74818690002,0.123460378485602,0.0699466075632172,1.76506599514522,0.0775526748781468,0.38769202878367,"TPD3","Regulatory subunit A of the heterotrimeric PP2A complex; the heterotrimeric protein phosphatase 2A (PP2A) complex also contains regulatory subunit Cdc55p and either catalytic subunit Pph21p or Pph22p; required for cell morphogenesis and transcription by RNA polymerase III"
"15","YAL017W",2162.12926188406,0.00228417614390763,0.0917434417736444,0.0248974324458341,0.980136775212091,0.994596309337535,"PSK1","PAS domain-containing serine/threonine protein kinase; coordinately regulates protein synthesis and carbohydrate metabolism and storage in response to a unknown metabolite that reflects nutritional status; PSK1 has a paralog, PSK2, that arose from the whole genome duplication"
"16","YAL018C",9.78901279034056,0.541221082627998,0.757209777481569,0.714757123749861,0.474759133265858,NA,"LDS1","Protein Involved in spore wall assembly; localizes to lipid droplets found on or outside of the prospore membrane; shares similarity with Lds2p and Rrt8p, and a strain mutant for all 3 genes exhibits reduced dityrosine fluorescence relative to the single mutants"
"17","YAL019W",3629.06289746892,0.00501448869155627,0.0808206626928387,0.0620446371568862,0.950527285140722,0.985154542714988,"FUN30","Snf2p family member with ATP-dependent chromatin remodeling activity; has a role in silencing at the mating type locus, telomeres and centromeres; enriched at centromeres and is required for correct chromatin structure around centromeres, as well as at the boundary element of the silent HMR; recruited to DNA double-strand breaks (DSBs) where it promotes 5' strand resection of DSBs; potential Cdc28p substrate"
"18","YAL020C",476.592148974311,-0.192778733377764,0.179682523408833,-1.07288527409609,0.283322593976574,0.631338547746357,"ATS1","Protein required for modification of wobble nucleosides in tRNA; acts with Elongator complex, Kti11p, and Kti12p; has a potential role in regulatory interactions between microtubules and the cell cycle; forms a stable heterodimer with Kti11p"
"19","YAL021C",3400.43348858473,0.15043270728343,0.116311838255693,1.29335680305154,0.195887682999701,0.550134026008846,"CCR4","Component of the CCR4-NOT transcriptional complex; CCR4-NOT is involved in regulation of gene expression; component of the major cytoplasmic deadenylase, which is involved in mRNA poly(A) tail shortening"
"20","YAL022C",1446.71612264933,0.15551622510204,0.0964886517630246,1.61175663936093,0.107014907158511,0.443505742763246,"FUN26","High affinity, broad selectivity, nucleoside/nucleobase transporter; vacuolar membrane localized transporter which may regulate the balance of nicotinamide riboside (NmR) levels between the cytosol and vacuole, contributing to salvage of NmR for use in cytosolic NAD+ synthesis; equilibrative nucleoside transporter (ENT) family member"
"21","YAL023C",12161.6225284875,0.319676127417088,0.102915503096904,3.10619991932687,0.00189508544812641,0.0492722216512867,"PMT2","Protein O-mannosyltransferase of the ER membrane; transfers mannose residues from dolichyl phosphate-D-mannose to protein serine/threonine residues; involved in ER quality control; acts in a complex with Pmt1p, can instead interact with Pmt5p; antifungal drug target; PMT2 has a paralog, PMT3, that arose from the whole genome duplication"
"22","YAL024C",1157.45825160797,0.136016445182492,0.124007021001737,1.09684471156344,0.27270928107119,0.623958835090882,"LTE1","Protein similar to GDP/GTP exchange factors; without detectable GEF activity; required for asymmetric localization of Bfa1p at daughter-directed spindle pole bodies and for mitotic exit at low temperatures"
"23","YAL025C",945.239587830464,0.145273980976146,0.146741803073148,0.989997246413346,0.322175464923514,0.666752505009936,"MAK16","Essential nuclear protein; constituent of 66S pre-ribosomal particles; required for maturation of 25S and 5.8S rRNAs; required for maintenance of M1 satellite double-stranded RNA of the L-A virus"
"24","YAL026C",5035.41832550897,0.337637210057526,0.10243698346499,3.29604795686825,0.000980552753528683,0.0335114695765715,"DRS2","Trans-golgi network aminophospholipid translocase (flippase); maintains membrane lipid asymmetry in post-Golgi secretory vesicles; contributes to clathrin-coated vesicle formation, endocytosis, protein trafficking between the Golgi and endosomal system and the cellular response to mating pheromone; autoinhibited by its C-terminal tail; localizes to the trans-Golgi network; mutations in human homolog ATP8B1 result in liver disease"
"25","YAL027W",208.45764397634,-0.137643814459999,0.171438707083653,-0.802874781322493,0.422047113553261,0.733654515370577,"SAW1","5'- and 3'-flap DNA binding protein; recruits Rad1p-Rad10p to single-strand annealing intermediates with 3' non-homologous tails for removal during double-strand break repair; complexes with Rad1p-Rad10p and stimulates its endonuclease activity; green fluorescent protein (GFP)-fusion protein localizes to the nucleus"
"26","YAL028W",278.60215467333,-0.291912143318787,0.140329540630545,-2.08019025792526,0.037508085456055,0.275472299292563,"FRT2","Tail-anchored ER membrane protein of unknown function; interacts with homolog Frt1p; promotes growth in conditions of high Na+, alkaline pH, or cell wall stress, possibly via a role in posttranslational translocation; potential Cdc28p substrate; FRT2 has a paralog, FRT1, that arose from the whole genome duplication"
"27","YAL029C",4871.32784033744,0.162753143354482,0.103179200526244,1.57738325674548,0.114707365631064,0.455310317632726,"MYO4","Type V myosin motor involved in actin-based transport of cargos; required for mRNA transport, including ASH1 mRNA, and facilitating the growth and movement of ER tubules into the growing bud along with She3p; MYO4 has a paralog, MYO2, that arose from the whole genome duplication"
"28","YAL030W",361.862714776151,-0.233779581212062,0.155650448453027,-1.50195250662971,0.133109374843869,0.48031770580721,"SNC1","Vesicle membrane receptor protein (v-SNARE); involved in the fusion between Golgi-derived secretory vesicles with the plasma membrane; proposed to be involved in endocytosis; member of the synaptobrevin/VAMP family of R-type v-SNARE proteins; SNC1 has a paralog, SNC2, that arose from the whole genome duplication"
"29","YAL031C",755.70774621607,0.067473670393879,0.107068627383594,0.630190860224085,0.528569718392721,0.797894520874907,"GIP4","Cytoplasmic protein that regulates protein phosphatase 1 Glc7p; protein overexpression relocalizes Glc7p from the nucleus and prevents chromosome segregation; potential Cdc28p substrate"
"30","YAL032C",611.170817549898,0.0972804925990768,0.108006287745231,0.900692863627949,0.367751644079135,0.69388754984251,"PRP45","Protein required for pre-mRNA splicing; associates with the spliceosome and interacts with splicing factors Prp22p and Prp46p; orthologous to human transcriptional coactivator SKIP and can activate transcription of a reporter gene"
"31","YAL033W",405.993976292636,-0.00158556488880095,0.123200243735846,-0.0128698194152973,0.989731653250561,0.997256036299564,"POP5","Subunit of both RNase MRP and nuclear RNase P; RNase MRP cleaves pre-rRNA, while nuclear RNase P cleaves tRNA precursors to generate mature 5' ends and facilitates turnover of nuclear RNAs"
"32","YAL034C",500.495114986261,0.0495712050938865,0.148951978921375,0.332799909426197,0.739285326611836,0.89870712764021,"FUN19","Non-essential protein of unknown function; expression induced in response to heat stress; FUN19 has a paralog, YOR338W, that arose from the whole genome duplication"
"33","YAL034W-A",148.711195258429,-0.152368053412974,0.177163024266608,-0.860044323829557,0.389764610056872,0.711926349932452,"MTW1","Essential component of the MIND kinetochore complex; joins kinetochore subunits contacting DNA to those contacting microtubules; critical to kinetochore assembly; complex consists of Mtw1p Including Nnf1p-Nsl1p-Dsn1p (MIND)"
"34","YAL035W",21125.061085148,0.198340487056716,0.0730443053965971,2.71534496741147,0.00662067665673984,0.109685234611964,"FUN12","Translation initiation factor eIF5B; GTPase that promotes Met-tRNAiMet binding to ribosomes and ribosomal subunit joining; promotes GTP-dependent maturation of 18S rRNA by Nob1p; protein abundance increases in response to DNA replication stress; homolog of bacterial IF2"
"35","YAL036C",3150.65312849067,0.0216650014150557,0.0786802953523765,0.275354856232137,0.783043623438567,0.921207847968213,"RBG1","Member of the DRG family of GTP-binding proteins; associates with translating ribosomes; interacts with Tma46p, Ygr250cp, Gir2p and Yap1p via two-hybrid"
"36","YAL037C-A",4.53272160014877,0.0635029803179009,0.933738753576937,0.0680093656546177,0.945778178834059,NA,"","Putative protein of unknown function"
"37","YAL037W",95.6508492145243,0.171587018688391,0.214412614638153,0.800265501999332,0.423556986131138,NA,"","Putative protein of unknown function; YAL037W has a paralog, YOR342C, that arose from the whole genome duplication"
"38","YAL038W",278642.844279296,0.028788190738929,0.105674805943886,0.272422461359576,0.785297203903261,0.922370835614444,"CDC19","Pyruvate kinase; functions as a homotetramer in glycolysis to convert phosphoenolpyruvate to pyruvate, the input for aerobic (TCA cycle) or anaerobic (glucose fermentation) respiration; regulated via allosteric activation by fructose bisphosphate; CDC19 has a paralog, PYK2, that arose from the whole genome duplication"
"39","YAL039C",663.746548255459,-0.225036779954649,0.12826985666218,-1.75440111816232,0.079361799882999,0.391335771836857,"CYC3","Cytochrome c heme lyase (holocytochrome c synthase); attaches heme to apo-cytochrome c (Cyc1p or Cyc7p) in mitochondrial intermembrane space; human homolog HCCS implicated in microphthalmia with linear skin defects (MLS), and can complement yeast null mutant"
"40","YAL040C",1363.36655739877,0.332162853769642,0.191432983662463,1.73513909366484,0.0827161713227643,0.397447488050898,"CLN3","G1 cyclin involved in cell cycle progression; activates Cdc28p kinase to promote G1 to S phase transition; plays a role in regulating transcription of other G1 cyclins, CLN1 and CLN2; regulated by phosphorylation and proteolysis; acetyl-CoA induces CLN3 transcription in response to nutrient repletion to promote cell-cycle entry; cell cycle arrest phenotype of the cln1 cln2 cln3 triple null mutant is complemented by any of human cyclins CCNA2, CCNB1, CCNC, CCND1, or CCNE1"
"41","YAL041W",2169.80970766111,0.0669282306119564,0.0906227217056239,0.738536973424436,0.460188207903425,0.761324020269079,"CDC24","Guanine nucleotide exchange factor (GEF) for Cdc42p; required for polarity establishment and maintenance, and mutants have morphological defects in bud formation and shmooing; relocalizes from nucleus to cytoplasm upon DNA replication stress; thermosensitivity of the cdc24-4 mutant in the presence of sorbitol is functionally complemented by human CDC42"
"42","YAL042W",5469.59593466113,0.0812030439571051,0.100221910848264,0.810232445877498,0.417806592889513,0.731083930919855,"ERV46","Protein localized to COPII-coated vesicles; forms a complex with Erv41p; involved in the membrane fusion stage of transport"
"43","YAL043C",2027.75012487669,0.147899237050044,0.102955135620718,1.43654064615968,0.150848559042348,0.499823823070806,"PTA1","Subunit of holo-CPF; holo-CPF is a multiprotein complex and functional homolog of mammalian CPSF, required for the cleavage and polyadenylation of mRNA and snoRNA 3' ends; involved in pre-tRNA processing; binds to the phosphorylated CTD of RNAPII"
"44","YAL044C",1337.42279407307,-0.326968084247423,0.130620755880882,-2.50318628186165,0.0123080743340962,0.155326553443154,"GCV3","H subunit of the mitochondrial glycine decarboxylase complex; glycine decarboxylase is required for the catabolism of glycine to 5,10-methylene-THF; also required for all protein lipoylation; expression is regulated by levels of 5,10-methylene-THF"
"45","YAL044W-A",257.022135039829,-0.161270127487586,0.138534043001934,-1.16411911464488,0.244375743340715,0.601685674663965,"BOL1","Mitochondrial matrix protein involved in Fe-S cluster biogenesis; facilitates [4Fe-2S] cluster inception into mitochondrial proteins such as lipoate synthase and succinate dehydrogenase; interacts and may function with Grx5p at an early step in Fe-S cluster biosynthesis; forms dimeric complexes with Grx5p and Nfu1p that alter the stability of shared Fe/S clusters; sequence similarity to human BOLA family member, BOLA1 and S. pombe uvi31, a putative DNA repair protein"
"46","YAL046C",268.649314609716,-0.117767879164215,0.131240432897759,-0.897344488767125,0.369535123843369,0.694701360364357,"BOL3","Protein involved in Fe-S cluster transfer to mitochondrial clients; protects [4Fe-4S] clusters from damage due to oxidative stress by acting along with Nfu1p at a late step in the transfer of [4Fe-4S] clusters from the ISA complex to mitochondrial client proteins like lipoate synthase and succinate dehydrogenase; sequence similarity to human BOLA family member, BOLA3, mutations of which are associated with Multiple Mitochondria Dysfunctions Syndrome (MMDS2)"
"47","YAL047C",446.076900096919,-0.031320033890168,0.114869780639149,-0.272656861673277,0.785116997999357,0.922370835614444,"SPC72","Gamma-tubulin small complex (gamma-TuSC) receptor; recruits the gamma-TuSC complex to the cytoplasmic side of the SPB, connecting nuclear microtubules to the SPB; involved in astral microtubule formation, stabilization, and with Stu2p, anchoring astral MTs at the cytoplasmic face of the SPB, and regulating plus-end MT dynamics; regulated by Cdc5 kinase"
"48","YAL048C",412.689218409618,0.056818395983749,0.118608902779476,0.479039892050842,0.631910249476883,0.852694386803423,"GEM1","Outer mitochondrial membrane GTPase, subunit of the ERMES complex; potential regulatory subunit of the ERMES complex that links the ER to mitochondria and may promote inter-organellar calcium and phospholipid exchange as well as coordinating mitochondrial DNA replication and growth; cells lacking Gem1p contain collapsed, globular, or grape-like mitochondria; ortholog of metazoan Miro GTPases"
"49","YAL049C",736.531144414584,-0.02177369433502,0.111503995462381,-0.1952727724664,0.845179411174102,0.946754261043099,"AIM2","Cytoplasmic protein involved in mitochondrial function or organization; null mutant displays reduced frequency of mitochondrial genome loss; potential Hsp82p interactor"
"50","YAL051W",1128.65919202127,0.121431335284788,0.0844318891675196,1.43821649002616,0.150372637831847,0.49914416948409,"OAF1","Oleate-activated transcription factor; subunit of a heterodimeric complex with Pip2p, which binds to oleate-response elements (ORE) in the promoter of genes involved in beta-oxidation of fatty acids, peroxisome organization and biogenesis, activating transcription in the presence of oleate; regulates chromatin silencing at telomeres; involved in diauxic shift; OAF1 has a paralog, PIP2, that arose from the whole genome duplication"
"51","YAL053W",2244.4545224781,0.27665252573048,0.116886928079604,2.3668388781855,0.0179407413325686,0.188830792711545,"FLC2","Putative calcium channel involved in calcium release under hypotonic stress; required for uptake of FAD into endoplasmic reticulum; involved in cell wall maintenance; FLC2 has a paralog, YOR365C, that arose from the whole genome duplication"
"52","YAL054C",275.935057039224,-0.190966145016924,0.142456377619372,-1.34052366210774,0.180075156809096,0.532098097934002,"ACS1","Acetyl-coA synthetase isoform; along with Acs2p, acetyl-coA synthetase isoform is the nuclear source of acetyl-coA for histone acetylation; expressed during growth on nonfermentable carbon sources and under aerobic conditions"
"53","YAL055W",128.439960552448,-0.288696454209333,0.26051056209844,-1.10819481515011,0.267777689546169,0.618141021662652,"PEX22","Putative peroxisomal membrane protein; required for import of peroxisomal proteins; functionally complements a Pichia pastoris pex22 mutation"
"54","YAL056W",1286.65960472156,0.140692313974957,0.0991571767578781,1.41888180538358,0.155933477625699,0.506514060204749,"GPB2","Multistep regulator of cAMP-PKA signaling; inhibits PKA downstream of Gpa2p and Cyr1p, thereby increasing cAMP dependency; inhibits Ras activity through direct interactions with Ira1p/2p; regulated by G-alpha protein Gpa2p; GPB2 has a paralog, GPB1, that arose from the whole genome duplication"
"55","YAL058W",728.965015098804,0.125895872729059,0.138456303992754,0.909282344671339,0.363201107619453,0.69332432273454,"CNE1","Calnexin; integral membrane ER chaperone involved in folding and quality control of glycoproteins; chaperone activity is inhibited by Mpd1p, with which Cne1p interacts; 24% identical to mammalian calnexin; Ca+ binding not yet shown in yeast"
"56","YAL059W",694.188946842952,-0.0791606021371153,0.120285631979524,-0.658105218673092,0.510470522715442,0.7871443871838,"ECM1","Pre-ribosomal factor involved in 60S ribosomal protein subunit export; associates with the pre-60S particle; shuttles between the nucleus and cytoplasm"
"57","YAL060W",1798.89189844497,-0.455578903033176,0.0962245354909601,-4.7345399040765,2.19552574410383e-06,0.000238609737869204,"BDH1","NAD-dependent (R,R)-butanediol dehydrogenase; catalyzes oxidation of (R,R)-2,3-butanediol to (3R)-acetoin, oxidation of meso-butanediol to (3S)-acetoin, and reduction of acetoin; enhances use of 2,3-butanediol as an aerobic carbon source"
"58","YAL061W",456.858055200772,-0.317621625579355,0.140364705797084,-2.26283112820768,0.0236461012458883,0.217043040448756,"BDH2","Putative medium-chain alcohol dehydrogenase with similarity to BDH1; transcription induced by constitutively active PDR1 and PDR3"
"59","YAL062W",524.160625129473,-0.130764007989618,0.123234913085745,-1.06109546974431,0.288646516469615,0.635076338622344,"GDH3","NADP(+)-dependent glutamate dehydrogenase; synthesizes glutamate from ammonia and alpha-ketoglutarate; rate of alpha-ketoglutarate utilization differs from Gdh1p; expression regulated by nitrogen and carbon sources; GDH3 has a paralog, GDH1, that arose from the whole genome duplication"
"60","YAL063C",462.627822498726,-0.152259645551188,0.139472128334032,-1.09168510848655,0.274971532835476,0.625208160552875,"FLO9","Lectin-like protein with similarity to Flo1p; thought to be expressed and involved in flocculation"
"61","YAL063C-A",9.1955881513133,-0.107734730499381,0.742660634740646,-0.145065896130343,0.884658844359669,NA,"","Putative protein of unknown function; identified by expression profiling and mass spectrometry"
"62","YAL064C-A",45.839969304376,-0.430363140019786,0.330920266009694,-1.30050403140671,0.193428275457668,NA,"TDA8","Putative protein of unknown function; null mutant is sensitive to expression of the top1-T722A allele; not an essential gene"
"63","YAL064W",11.6657584051683,-0.369095006693431,0.603119388609708,-0.611976689299041,0.540553180507458,NA,"","Protein of unknown function; may interact with ribosomes, based on co-purification experiments"
"64","YAL064W-B",19.4960024066543,-0.0283763883332121,0.430185923015969,-0.065963079717415,0.947407219525442,NA,"","Fungal-specific protein of unknown function"
"65","YAL065C",29.6759128403016,-0.734005673810399,0.474016192692292,-1.54848227787627,0.121506225310518,NA,"","Putative protein of unknown function; shows sequence similarity to FLO1 and other flocculins"
"66","YAL067C",140.531630457231,-0.286271407226721,0.217304552026667,-1.31737418547767,0.187713229489991,0.545181020335976,"SEO1","Putative permease; member of the allantoate transporter subfamily of the major facilitator superfamily; mutation confers resistance to ethionine sulfoxide"
"67","YAL067W-A",16.6080313239998,-0.196910856355334,0.490823526414334,-0.401184633087677,0.688284193689473,NA,"","Putative protein of unknown function; identified by gene-trapping, microarray-based expression analysis, and genome-wide homology searching"
"68","YAL068C",1.77957716091723,-2.06046664589172,1.694557462712,-1.21593200067357,0.224010826590348,NA,"PAU8","Protein of unknown function; member of the seripauperin multigene family encoded mainly in subtelomeric regions"
"69","YAR002C-A",2834.05736295822,0.0866425821362839,0.103665023899534,0.835793779590049,0.403270926513599,0.721289626981852,"ERP1","Member of the p24 family involved in ER to Golgi transport; role in misfolded protein quality control; forms heterotrimeric complex with Erp2p, Emp24p, and Erv25p; localized to COPII-coated vesicles; ERP1 has a paralog, ERP6, that arose from the whole genome duplication"
"70","YAR002W",1764.03580676963,0.0235972737173492,0.0906074236124312,0.260434220249826,0.794528849455521,0.926794822189111,"NUP60","FG-nucleoporin component of central core of the nuclear pore complex; contributes directly to nucleocytoplasmic transport and maintenance of the nuclear pore complex (NPC) permeability barrier and is involved in gene tethering at the nuclear periphery; relocalizes to the cytosol in response to hypoxia; both NUP1 and NUP60 are homologous to human NUP153"
"71","YAR003W",563.267024561221,-0.0221008978976158,0.113132056304879,-0.195354867749033,0.845115146154863,0.946754261043099,"SWD1","Subunit of the COMPASS (Set1C) complex; COMPASS methylates histone H3 on lysine 4 and is required in transcriptional silencing near telomeres; WD40 beta propeller superfamily member with similarity to mammalian Rbbp7"
"72","YAR007C",2151.39864169585,-0.0747057286352178,0.0748666568294707,-0.997850469073042,0.318351872995266,0.666093844459003,"RFA1","Subunit of heterotrimeric Replication Protein A (RPA); RPA is a highly conserved single-stranded DNA binding protein involved in DNA replication, repair, and recombination; RPA protects against inappropriate telomere recombination, and upon telomere uncapping, prevents cell proliferation by a checkpoint-independent pathway; role in DNA catenation/decatenation pathway of chromosome disentangling; relocalizes to the cytosol in response to hypoxia"
"73","YAR008W",295.274074961173,-0.127592288384754,0.132120235702235,-0.965728585833845,0.334180011520121,0.676575006774015,"SEN34","Subunit of the tRNA splicing endonuclease; tRNA splicing endonuclease (Sen complex) is composed of Sen2p, Sen15p, Sen34p, and Sen54p; Sen complex also cleaves the CBP1 mRNA at the mitochondrial surface; Sen34p contains the active site for tRNA 3' splice site cleavage and has similarity to Sen2p and to Archaeal tRNA splicing endonuclease"
"74","YAR009C",18707.2464731604,0.370631743681254,0.184310447301532,2.01091011989624,0.0443349512406212,0.30213346224414,"","Retrotransposon TYA Gag and TYB Pol genes; Gag processing produces capsid proteins, Pol is cleaved to produce protease, reverse transcriptase and integrase activities; in YARCTy1-1 TYB is mutant and probably non-functional; protein product forms cytoplasmic foci upon DNA replication stress"
"75","YAR010C",6638.49276411404,-0.0467881385786575,0.455899639469219,-0.10262815437435,0.91825809685819,0.974145404478795,"","Retrotransposon TYA Gag gene co-transcribed with TYB Pol; Gag processing produces capsid proteins; in YARCTy1-1 TYB is mutant and probably non-functional"
"76","YAR014C",1626.96281415884,-0.115599897432284,0.0768496187975163,-1.50423514444317,0.132520831611773,0.47975896001224,"BUD14","Protein involved in bud-site selection; Bud14p-Glc7p complex is a cortical regulator of dynein; forms a complex with Kel1p and Kel2p that regulates Bnr1p (formin) to affect actin cable assembly, cytokinesis, and polarized growth; diploid mutants display a random budding pattern instead of the wild-type bipolar pattern; relative distribution to the nucleus increases upon DNA replication stress"
"77","YAR015W",1921.8818168647,-0.109073382316457,0.0807987781320908,-1.34993851191837,0.177035707019668,0.529909079822255,"ADE1","N-succinyl-5-aminoimidazole-4-carboxamide ribotide synthetase; required for 'de novo' purine nucleotide biosynthesis; red pigment accumulates in mutant cells deprived of adenine; protein abundance increases in response to DNA replication stress"
"78","YAR018C",530.711777135642,-0.0151390647651306,0.116929825572442,-0.129471370465283,0.896984677316626,0.968643628087947,"KIN3","Nonessential serine/threonine protein kinase; possible role in DNA damage response; influences tolerance to high levels of ethanol"
"79","YAR019C",639.073852042765,0.0668401297657992,0.13275722202484,0.503476411650833,0.61462936056819,0.842725966432461,"CDC15","Protein kinase of the Mitotic Exit Network; localized to the spindle pole bodies at late anaphase; promotes mitotic exit by directly switching on the kinase activity of Dbf2p; required for spindle disassembly after meiosis II; relocalizes to the cytoplasm upon DNA replication stress"
"80","YAR020C",19.9662930657369,0.856238702153072,0.442653368034318,1.93433228793752,0.0530722858388555,NA,"PAU7","Member of the seripauperin multigene family; active during alcoholic fermentation, regulated by anaerobiosis, inhibited by oxygen, repressed by heme"
"81","YAR023C",93.1865472914189,-0.249883838162274,0.224681592462764,-1.11216871584034,0.266065616099208,NA,"","Putative integral membrane protein; member of DUP240 gene family"
"82","YAR027W",705.113282650921,0.0220502920412772,0.134965610209486,0.163377115155868,0.870221520240917,0.956335577701493,"UIP3","Putative integral membrane protein of unknown function; interacts with Ulp1p at the nuclear periphery; member of DUP240 gene family"
"83","YAR028W",220.808782850722,-0.0591518411882287,0.148398751185538,-0.398600666890203,0.690187470146813,0.884954997433193,"","Putative integral membrane protein; member of DUP240 gene family; GFP-fusion protein is induced in response to the DNA-damaging agent MMS"
"84","YAR029W",55.0956849732163,-0.282821327839572,0.296769918946604,-0.952998635587653,0.340590762009526,NA,"","Member of DUP240 gene family but contains no transmembrane domains; green fluorescent protein (GFP)-fusion protein localizes to the cytoplasm in a punctate pattern"
"85","YAR031W",215.549294208787,-0.0619140993285354,0.174288242325838,-0.355239679408694,0.72241004085421,0.89432747056525,"PRM9","Pheromone-regulated protein; contains 3 predicted transmembrane segments and an FF sequence, a motif involved in COPII binding; member of DUP240 gene family; PRM9 has a paralog, PRM8, that arose from a segmental duplication"
"86","YAR033W",206.757940571711,0.116579022040803,0.157655693732019,0.739453293954375,0.459631790935972,0.761243264841838,"MST28","Putative integral membrane protein, involved in vesicle formation; forms complex with Mst27p; member of DUP240 gene family; binds COPI and COPII vesicles; MST28 has a paralog, MST27, that arose from a segmental duplication"
"87","YAR035C-A",4.31956812080359,0.445415617034794,0.929824652112979,0.479031843286377,0.631915975318599,NA,"","Putative protein of unknown function; identified by gene-trapping, microarray-based expression analysis, and genome-wide homology searching; predicted to have a role in cell budding based on computational ""guilt by association"" analysis"
